Symbol,Description,Technical Rating 1 day,Moving Averages Rating 1 day,Oscillators Rating 1 day,Relative Strength Index (14) 1 day,Momentum (10) 1 day,Awesome Oscillator 1 day,Commodity Channel Index (20) 1 day,"Stochastic (14,3,3) 1 day, %K","Stochastic (14,3,3) 1 day, %D",Candlestick Pattern 1 day
ALB,Albemarle Corporation,Strong buy,Strong buy,Neutral,58.67232287,14.1,14.39847441,68.68115632,51.06871295,51.12149225,
KEY,KeyCorp,Strong buy,Strong buy,Buy,62.06901038,0.19,1.473467647,59.90631551,62.85281038,71.12217394,
FIS,"Fidelity National Information Services, Inc.",Sell,Strong sell,Neutral,40.48424036,-0.83,-1.25767375,-63.45456408,40.02530201,51.98368498,
CMS,CMS Energy Corporation,Sell,Sell,Neutral,44.50982997,-2.4,-1.067179412,-99.64295895,29.3652179,22.48226435,
EQR,Equity Residential,Buy,Strong buy,Buy,56.36081483,1.54,1.838258824,98.45399638,70.13946064,67.99151535,"Long Upper Shadow, Shooting Star"
SBAC,SBA Communications Corporation,Buy,Strong buy,Sell,57.26098593,-5.24,20.02093382,37.80144053,69.44327998,74.83779534,
EXE,Expand Energy Corporation,Sell,Strong sell,Neutral,37.21184537,-1.48,-7.474619162,-45.89726231,27.94408533,21.90143466,
AER,AerCap Holdings N.V.,Sell,Strong sell,Neutral,45.17575004,-9.95,0.249378424,-51.71556181,9.683633069,14.17315496,Long Upper Shadow
NI,NiSource Inc,Strong buy,Strong buy,Buy,57.81647209,1.03,0.692925,105.9993606,71.65242165,53.834283,
FCNCA,"First Citizens BancShares, Inc.",Buy,Strong buy,Neutral,51.60062672,-27.28,91.78606912,-6.954224269,29.39805958,47.59218156,
NVT,nVent Electric plc,Buy,Strong buy,Sell,68.65244656,8.55,16.20143235,100.3514749,89.06016619,92.43367322,
VRSK,"Verisk Analytics, Inc.",Sell,Strong sell,Neutral,40.49874304,7.03,-8.466369118,-24.65730968,61.15681204,64.60468146,
LEN,Lennar Corporation,Sell,Sell,Neutral,50.47033888,3.46,2.906883529,86.3241472,67.26194835,72.07096554,
LYB,LyondellBasell Industries NV,Neutral,Neutral,Neutral,48.42655685,-4.49,-2.966547059,-65.10355239,34.7187175,33.63737771,Spinning Top White
L,Loews Corporation,Buy,Strong buy,Neutral,56.90059466,0.94,2.681838235,72.26511326,73.44158102,77.76577919,
WSM,"Williams-Sonoma, Inc.",Neutral,Neutral,Neutral,50.90046923,-1.47,9.386462647,14.5090496,40.39953808,52.31574672,
DRI,"Darden Restaurants, Inc.",Sell,Sell,Neutral,49.39813882,6.81,1.342409118,63.93601501,78.18078776,77.7495736,
TSEM,Tower Semiconductor Ltd.,Buy,Strong buy,Neutral,57.4264522,-6.14,26.61034971,-0.750128488,35.61225578,46.07175655,
CHD,"Church & Dwight Company, Inc.",Buy,Strong buy,Neutral,50.65419711,0.37,-0.812704412,70.83824767,60.16869728,46.60425438,
BRO,"Brown & Brown, Inc.",Sell,Strong sell,Neutral,45.12451093,-1.34,0.334167647,-35.82359626,43.31254331,58.9853036,
RL,Ralph Lauren Corporation,Buy,Strong buy,Neutral,52.69455583,-6.6,20.37906294,3.580345326,42.67466353,55.82594006,Long Lower Shadow
FUTU,Futu Holdings Limited,Buy,Strong buy,Neutral,57.11197575,3.6,10.62753529,44.71256895,58.28361393,64.89008106,
CHRW,"C.H. Robinson Worldwide, Inc.",Strong buy,Strong buy,Buy,65.70850049,23.495,11.02981794,117.4140615,90.17927294,87.02416769,
TROW,"T. Rowe Price Group, Inc.",Buy,Strong buy,Neutral,73.10728515,6.99,7.706647059,112.6138384,91.3727597,91.57073621,
TSN,"Tyson Foods, Inc.",Neutral,Neutral,Neutral,49.03590046,-0.84,1.485675882,-79.56810331,49.2481203,59.35672515,
WWD,"Woodward, Inc.",Sell,Sell,Sell,45.23820742,-32.6,-2.996163529,-77.2289861,17.07486478,20.21847979,
STE,STERIS plc (Ireland),Sell,Strong sell,Neutral,46.81805599,-2.66,1.733529118,-5.982202864,47.41401367,51.3904165,
DGX,Quest Diagnostics Incorporated,Sell,Sell,Neutral,48.74122412,3.72,3.516757353,2.383552236,38.64806511,51.66362177,
AFRM,"Affirm Holdings, Inc.",Buy,Strong buy,Neutral,67.48677014,13.16,13.32620441,81.98173708,78.14625165,80.784154,
OMC,Omnicom Group Inc.,Sell,Strong sell,Neutral,45.35102155,0.01,0.220547059,-14.27515692,39.81337481,51.09728702,"Inverted Hammer, Long Upper Shadow"
LH,Labcorp Holdings Inc.,Strong sell,Strong sell,Sell,43.60378148,-0.75,0.509898235,-101.5731961,28.52578731,42.72529033,
PFG,Principal Financial Group Inc,Buy,Strong buy,Neutral,71.31224297,6.19,6.795499118,152.4805756,83.16903981,86.30546005,
FWONA,Liberty Media Corporation - Series A Liberty Formula One,Sell,Strong sell,Sell,47.05934487,-3.48,1.580159412,-16.63272023,37.9876049,46.23980097,
TWLO,Twilio Inc.,Buy,Strong buy,Neutral,59.82314427,18.37,15.13410147,79.42558322,71.2444978,76.93724577,
APG,APi Group Corporation,Buy,Strong buy,Buy,72.21433214,4.58,5.452619118,112.8944208,93.09042924,91.99150368,
ZS,"Zscaler, Inc.",Sell,Strong sell,Neutral,45.28615171,11.49,-4.238101471,16.86316218,54.54587689,61.11498258,
VLTO,Veralto Corp,Strong sell,Strong sell,Sell,37.35092433,-3.7,-0.498045588,-97.90414352,23.90971569,29.82698209,
NTAP,"NetApp, Inc.",Buy,Strong buy,Neutral,60.3281068,10.04,7.123497059,97.69670625,72.13693312,76.98958885,Spinning Top Black
CNC,Centene Corporation,Strong buy,Strong buy,Buy,73.58909916,6.04,4.283904412,189.3344203,96.99587135,94.53243502,
WST,"West Pharmaceutical Services, Inc.",Buy,Strong buy,Neutral,73.45484669,42.24,38.42335588,166.404872,78.48486199,80.54442313,
CRS,Carpenter Technology Corporation,Buy,Strong buy,Sell,55.15170006,-15.23,25.04178235,16.52339031,48.82582717,55.70022584,
MDB,"MongoDB, Inc.",Buy,Buy,Buy,52.57291315,28.24,4.903508529,78.38335635,75.34962483,78.88431481,Bullish Engulfing
FSLR,"First Solar, Inc.",Buy,Buy,Buy,51.06382809,-2.87,-2.824545588,11.2666837,41.28333978,30.67903621,
MTSI,"MACOM Technology Solutions Holdings, Inc.",Buy,Strong buy,Neutral,63.12782017,15.81,39.57176941,79.69976934,84.78312342,87.40815706,
ATI,ATI Inc.,Neutral,Buy,Neutral,49.3786652,-10.33,2.764804412,-25.07084317,36.72382841,41.09432241,
SW,Smurfit WestRock plc,Sell,Strong sell,Neutral,45.17791261,-2.07,0.197720588,-45.01521678,26.1190175,32.23796317,
RGLD,"Royal Gold, Inc.",Sell,Strong sell,Neutral,40.93662439,-18.41,-1.61775,-113.3431388,14.29475016,13.26403864,
RIVN,"Rivian Automotive, Inc.",Buy,Strong buy,Neutral,55.24908409,0.82,1.168360294,55.29477228,61.54242878,71.54283577,
CPAY,"Corpay, Inc.",Sell,Sell,Neutral,48.64060377,-2.4,13.38749412,0.912385502,36.36371358,50.8781489,
BURL,"Burlington Stores, Inc.",Sell,Sell,Sell,47.97035436,-6.07,9.867720588,-87.46353032,24.5724385,35.49982847,
AS,"Amer Sports, Inc.",Neutral,Neutral,Neutral,50.87536528,0.15,1.875555882,21.25720582,50.68465714,61.32088848,
DKS,Dick's Sporting Goods Inc,Strong buy,Strong buy,Buy,70.36769309,18.77,22.46092235,93.43383751,84.59551318,85.99032874,
BWXT,"BWX Technologies, Inc.",Neutral,Buy,Sell,51.60465001,-10.76,6.472594118,-14.14241254,38.55786081,39.25489469,
EFX,"Equifax, Inc.",Strong sell,Strong sell,Sell,36.54535644,-15.9,-3.128607059,-134.4813468,5.080513087,15.99148956,
USFD,US Foods Holding Corp.,Sell,Sell,Neutral,47.79985356,-0.39,1.024625,17.96096716,64.15320168,66.18791143,
ROIV,Roivant Sciences Ltd.,Sell,Sell,Neutral,46.47701013,-1.1,0.204399706,-57.25840406,21.05238886,38.30526187,
SNA,Snap-On Incorporated,Buy,Strong buy,Buy,56.10281951,2.76,14.03656765,58.8489789,56.68451885,65.42114416,
EXPD,"Expeditors International of Washington, Inc.",Buy,Strong buy,Neutral,53.87029054,4.22,4.400184603,82.91966712,64.43298969,69.28171321,
CDE,"Coeur Mining, Inc.",Sell,Strong sell,Neutral,45.86075156,-1.43,-0.454010294,-33.8412603,24.9745158,28.59688411,
ILMN,"Illumina, Inc.",Buy,Strong buy,Neutral,51.32405092,1.56,3.401741176,9.47947479,46.08673338,50.68286146,
ITT,ITT Inc.,Buy,Strong buy,Neutral,61.24521483,-3.29,18.46321882,51.86607782,77.30804016,81.51940767,Bearish Engulfing
FLUT,Flutter Entertainment plc,Buy,Buy,Neutral,52.41689548,5.6,2.191072353,120.8220369,70.74581947,64.50061199,Long Upper Shadow
DLTR,"Dollar Tree, Inc.",Strong sell,Strong sell,Sell,37.26950581,-4.13,-3.640652941,-104.3652368,28.96087104,32.51809484,
MRNA,"Moderna, Inc.",Sell,Sell,Sell,41.120005,-1.98,0.71843,-87.2189457,35.15765063,59.02489707,
DD,"DuPont de Nemours, Inc.",Buy,Strong buy,Neutral,52.00720989,-0.46,0.59805,23.79377389,42.35054319,42.30057775,
FTV,Fortive Corporation,Strong buy,Strong buy,Buy,69.62762487,2.19,3.904260294,103.6329072,90.40859835,89.238745,
INCY,Incyte Corporation,Neutral,Neutral,Buy,50.19540618,0.165,1.589066176,23.10653397,29.7366926,37.87800962,Bullish Engulfing
CF,"CF Industries Holdings, Inc.",Buy,Buy,Neutral,52.06790981,1.95,-2.578862353,-20.08511021,54.58394921,48.11823399,
PKG,Packaging Corporation of America,Neutral,Buy,Neutral,50.74009855,2.06,1.088429412,64.25747468,56.08241909,50.39230697,Spinning Top Black
GPN,Global Payments Inc.,Sell,Strong sell,Neutral,46.87515311,0.19,0.943694118,9.310198861,44.27583275,54.60692963,
EVRG,"Evergy, Inc.",Neutral,Buy,Neutral,49.71165737,-0.86,-0.653735294,-42.22212281,38.94389439,28.58569999,
TSCO,Tractor Supply Company,Strong sell,Strong sell,Sell,18.7142972,-9.77,-6.483905882,-191.2728301,1.567578344,4.004201399,
MKSI,MKS Inc.,Buy,Strong buy,Neutral,64.39155441,5.18,32.23270735,59.35812721,75.73832282,79.76708579,
AMKR,"Amkor Technology, Inc.",Buy,Strong buy,Sell,77.01208411,15.18,20.40366588,120.9322161,92.40803984,94.06859132,Bearish Engulfing
LNT,Alliant Energy Corporation,Buy,Strong buy,Neutral,53.6658978,-0.09,0.304107353,25.10103384,48.63676341,35.22702842,
RBC,RBC Bearings Incorporated,Buy,Strong buy,Buy,56.9309392,-4.74,28.99135735,42.68081655,73.91793537,78.84986385,
LUV,Southwest Airlines Company,Sell,Strong sell,Neutral,42.80303403,-1.25,-0.513966471,-33.71749363,20.0330442,27.76419664,
WSO,"Watsco, Inc.",Strong buy,Strong buy,Buy,74.01139247,40.59,49.25349853,117.9323086,93.98741205,91.1003622,
GIS,"General Mills, Inc.",Sell,Strong sell,Buy,32.04747092,0.16,-1.761995294,-71.65846186,27.92438062,29.63672409,
RS,"Reliance, Inc.",Strong buy,Strong buy,Buy,78.20346862,36.49,34.28023382,174.7321852,79.56200266,81.99653456,
TEAM,Atlassian Corporation,Sell,Sell,Neutral,49.07588845,7.92,1.208282941,67.60726499,67.46891074,72.62328854,Long Upper Shadow
BR,"Broadridge Financial Solutions, Inc.",Sell,Strong sell,Neutral,38.70927553,-1,-7.433166176,-64.82098283,37.76296444,48.83113842,
NXT,Nextpower Inc.,Buy,Strong buy,Buy,56.50143868,11.03,1.628431471,108.7961312,75.42917166,69.36198902,
LDOS,"Leidos Holdings, Inc.",Strong sell,Strong sell,Sell,27.48108337,-13.35,-10.49535735,-209.2474102,7.504293046,8.79912907,
SNX,TD SYNNEX Corporation,Buy,Strong buy,Sell,80.61102676,19.12,39.868475,113.7797281,94.32466312,94.53831963,
IFF,"International Flavors & Fragrances, Inc.",Sell,Strong sell,Neutral,45.83075186,-0.71,0.492367647,-71.4303249,27.37438075,34.23448927,
HPQ,HP Inc.,Neutral,Neutral,Neutral,53.05469965,0.53,1.136240882,49.3995303,53.7993921,62.79972982,Spinning Top Black
WY,Weyerhaeuser Company,Buy,Strong buy,Neutral,55.61345381,0.2,0.843282353,77.08980594,60.06637117,56.79794236,
AMCR,Amcor plc,Sell,Strong sell,Neutral,40.55860831,-1.91,-0.232823529,-95.65446661,16.04401312,29.32312453,
NVR,"NVR, Inc.",Sell,Strong sell,Sell,40.90222227,-299.16,40.73728225,-121.6908968,16.16300728,24.45950332,Doji
ZBH,"Zimmer Biomet Holdings, Inc.",Sell,Strong sell,Neutral,49.5382425,-2.75,0.971797747,-8.728412447,27.95557478,30.46090292,
PR,Permian Resources Corporation,Buy,Strong buy,Neutral,55.11650698,0.07,0.120083824,23.25348509,70.41416833,61.36570329,
ULS,UL Solutions Inc.,Buy,Strong buy,Sell,54.24066968,4.16,4.525816176,42.69671976,61.73705655,66.08860053,
AA,Alcoa Corporation,Buy,Buy,Neutral,51.02555208,-5.95,0.729818235,-56.39027283,25.38825616,28.44010871,
LULU,lululemon athletica inc.,Sell,Strong sell,Buy,37.86587506,-15.62,-5.426773235,-116.2566608,9.710228762,27.65776234,
LII,"Lennox International, Inc.",Buy,Buy,Neutral,55.47820827,-15.64,13.78690735,66.53230797,60.0335182,59.2932455,
JBS,JBS N.V.,Sell,Sell,Neutral,40.28396435,-1.47,0.364691176,-239.279669,4.926039935,7.293660301,
IP,International Paper Company,Sell,Strong sell,Neutral,31.81285446,-4,-1.972280882,-163.1210024,7.667070019,11.39662079,Spinning Top White
VTRS,Viatris Inc.,Buy,Strong buy,Neutral,62.17962614,0.98,0.876602941,106.3716729,75.35982283,73.59514646,
CG,The Carlyle Group Inc.,Strong sell,Strong sell,Sell,42.37042173,-1.48,1.841351471,-40.1760124,27.96835029,44.95078796,
SMMT,Summit Therapeutics Inc.,Buy,Strong buy,Neutral,57.07814493,2.09,4.808236765,28.48822261,34.03680187,43.99281004,Spinning Top White
EWBC,"East West Bancorp, Inc.",Buy,Strong buy,Buy,72.45176443,7.57,11.33483824,126.5202755,92.29028334,91.28093907,
IOT,Samsara Inc.,Sell,Strong sell,Neutral,47.41853376,2.88,-0.455227941,1.509802616,59.67957276,68.8773899,Long Upper Shadow
VNOM,"Viper Energy, Inc.",Buy,Strong buy,Sell,58.00693413,2.17,1.157702941,126.1874163,89.03041753,91.83468352,
CDW,CDW Corporation,Buy,Buy,Neutral,55.96706771,1.22,12.78346765,50.40844841,56.65730218,72.19897793,
TOST,"Toast, Inc.",Buy,Buy,Neutral,54.49554531,1.5,1.250223824,84.12372801,76.96532784,79.82606706,
ROKU,"Roku, Inc.",Buy,Strong buy,Neutral,63.36966467,11.06,14.45985647,74.39133023,77.63623667,82.06095143,
NVMI,Nova Ltd.,Buy,Strong buy,Neutral,63.96936506,23.27,53.67882647,76.61215627,83.95898192,84.04210445,
FFIV,"F5, Inc.",Neutral,Buy,Neutral,49.32986919,-0.35,10.87910294,-14.55323324,45.56240658,57.80705032,
TLN,Talen Energy Corporation,Strong buy,Strong buy,Buy,61.27330475,43.59,16.08588382,129.1200202,81.25069421,63.61212929,Long Lower Shadow
YUMC,"Yum China Holdings, Inc.",Strong sell,Strong sell,Neutral,36.81703914,-1.71,-1.847552941,-121.0396928,19.01234568,23.41563786,
SGI,Somnigroup International Inc.,Neutral,Sell,Neutral,50.76611378,-0.25,3.198264706,26.30026591,47.63022661,54.17966641,Spinning Top White
SMCI,"Super Micro Computer, Inc.",Sell,Sell,Neutral,52.96859085,1.88,2.030548235,70.31166445,73.63448847,77.23664037,
SSNC,"SS&C Technologies Holdings, Inc.",Sell,Strong sell,Sell,44.25230741,-0.56,-0.245147059,-35.06262631,38.27533005,51.04164432,
SN,"SharkNinja, Inc.",Buy,Strong buy,Buy,55.12582553,1.4,7.662891176,46.69339127,51.88587279,59.88085982,
TPG,TPG Inc.,Neutral,Sell,Neutral,51.69994686,3.51,3.316957353,40.21663509,65.60958421,73.77979817,
ESS,"Essex Property Trust, Inc.",Buy,Strong buy,Buy,59.06456994,7.88,5.930397059,126.506325,74.95224787,70.06822494,
CLH,"Clean Harbors, Inc.",Buy,Strong buy,Neutral,62.86670283,3.73,12.05965321,98.31076068,63.8642821,64.1301786,
NLY,Annaly Capital Management Inc.,Strong buy,Strong buy,Buy,59.95272839,0.62,0.757245588,101.7594563,80.74730671,79.62286226,
LSCC,Lattice Semiconductor Corporation,Buy,Strong buy,Neutral,65.37282587,11.47,18.15998824,100.348915,82.33387795,84.95459786,
INVH,Invitation Homes Inc.,Buy,Strong buy,Buy,63.0626455,1.27,1.403169118,107.6105493,85.45713546,81.78532208,
THC,Tenet Healthcare Corporation,Sell,Strong sell,Neutral,40.47015627,-7.46,-15.10870941,-110.0310172,29.02779373,25.46578723,
BALL,Ball Corporation,Sell,Sell,Sell,45.48612786,-2.53,1.537541176,-18.54557047,40.25795986,52.61061078,
PTC,PTC Inc.,Sell,Strong sell,Neutral,38.43816356,2.2,-6.067786765,-48.45122461,32.61250731,40.49613611,Long Upper Shadow
OVV,Ovintiv Inc. (DE),Buy,Strong buy,Neutral,54.10432643,0.59,-1.009286176,6.710770644,61.98562051,52.25334813,
IONQ,"IonQ, Inc.",Buy,Strong buy,Buy,62.3611662,14.08,10.40745,59.16919102,73.5038224,79.30065885,
IREN,IREN Limited,Buy,Strong buy,Neutral,58.23236983,5.29,7.568600588,69.92488807,82.00216297,85.87739553,
WPC,W. P. Carey Inc. REIT,Buy,Strong buy,Neutral,54.52852924,1.19,2.444195588,59.20532394,70.81989341,77.25996907,
JLL,Jones Lang LaSalle Incorporated,Buy,Strong buy,Neutral,61.7952706,17.33,30.37964265,66.34170403,62.64879397,69.34629915,
SUI,"Sun Communities, Inc.",Sell,Strong sell,Sell,43.89950753,-1.88,-1.154572059,-5.427121127,53.76920329,54.43806753,
KIM,Kimco Realty Corporation (HC),Strong buy,Strong buy,Buy,61.41997565,0.68,0.715529412,73.59297693,73.16667738,70.70766706,
NDSN,Nordson Corporation,Buy,Strong buy,Neutral,59.62169007,5.34,10.56023529,93.29802671,82.46622925,81.44958599,
TRMB,Trimble Inc.,Neutral,Sell,Neutral,50.447364,0.28,1.608950294,30.14778132,50.04509026,58.79492715,Doji
STRL,"Sterling Infrastructure, Inc.",Buy,Strong buy,Sell,66.91031135,46.43,53.89866206,120.790241,92.40716601,93.60544698,
NWS,News Corporation,Buy,Strong buy,Neutral,70.51134217,1.72,2.015838235,107.3002699,80.89064316,85.00705743,
H,Hyatt Hotels Corporation,Buy,Strong buy,Neutral,58.12491483,4.76,13.83151029,48.46988715,63.580623,69.39824937,
PAA,"Plains All American Pipeline, L.P.",Buy,Strong buy,Neutral,56.47254396,0.14,-0.353882353,18.57535745,56.48676218,41.3324369,
EG,"Everest Group, Ltd.",Buy,Strong buy,Neutral,56.36935225,10.09,16.14872176,44.85801897,67.84863314,73.26849997,
TXT,Textron Inc.,Sell,Strong sell,Sell,42.86573685,-4.63,-0.628095294,-60.44310614,32.27131085,39.53057695,
IEX,IDEX Corporation,Buy,Strong buy,Neutral,61.56826314,2.27,10.84478088,85.6786693,84.06390874,81.58607074,
WCC,"WESCO International, Inc.",Buy,Strong buy,Neutral,62.36762402,11.02,34.97086765,62.3179754,72.49995513,77.48378546,
RMBS,"Rambus, Inc.",Buy,Strong buy,Neutral,67.31725316,28.15,35.37210235,124.9199083,87.40103741,93.04469893,Marubozu Black
CSGP,"CoStar Group, Inc.",Sell,Strong sell,Neutral,32.16561973,-0.82,-2.775385294,-120.9365076,29.85609975,42.5045307,Long Upper Shadow
DECK,Deckers Outdoor Corporation,Neutral,Buy,Neutral,50.49806631,-1.37,4.334010294,25.48689338,48.20387863,59.3136857,
MLI,"Mueller Industries, Inc.",Buy,Strong buy,Sell,74.70966968,13.26,17.64030441,143.7537692,86.65889324,87.58609706,Spinning Top Black
MAS,Masco Corporation,Buy,Strong buy,Sell,71.91782019,9.93,9.713452941,148.9018151,90.72147452,90.83050051,
WMG,Warner Music Group Corp.,Buy,Buy,Neutral,55.45770916,-0.01,2.293866176,36.16796378,55.94884764,64.44485162,
TTMI,"TTM Technologies, Inc.",Buy,Strong buy,Sell,71.9701166,20.68,26.25416029,138.9096386,95.36657521,93.69695503,Bearish Harami
PNR,Pentair plc.,Buy,Buy,Neutral,57.44567752,1.07,2.161897647,131.3515297,77.45996831,75.16464113,Long Upper Shadow
ONTO,Onto Innovation Inc.,Buy,Strong buy,Neutral,69.61673396,45.67,64.56010147,97.20170347,87.16618652,90.63598978,
PNFP,"Pinnacle Financial Partners, Inc.",Strong buy,Strong buy,Buy,62.82434797,5.35,8.207873529,87.07615684,83.4743422,83.12361272,
QXO,"QXO, Inc.",Sell,Strong sell,Sell,44.30510058,-1.81,0.952742647,-25.04994201,33.07102199,43.03389802,
J,Jacobs Solutions Inc.,Sell,Strong sell,Neutral,43.51700396,0.51,-0.505135294,-47.76666401,51.57833768,57.72757988,
CSL,Carlisle Companies Incorporated,Buy,Strong buy,Neutral,56.48591132,4.45,17.41632616,72.49857252,58.72104588,66.51315183,Doji
REG,Regency Centers Corporation,Buy,Strong buy,Neutral,59.30498223,1.62,2.637411765,69.98304702,72.05886225,70.83643148,
AEIS,"Advanced Energy Industries, Inc.",Buy,Strong buy,Neutral,64.29522402,6.74,40.80062971,60.09893968,78.94123415,79.60867879,Hanging Man
GPC,Genuine Parts Company,Sell,Strong sell,Neutral,42.98960861,-3.23,4.220523235,-30.07739914,33.33060136,51.27717254,
MAA,"Mid-America Apartment Communities, Inc.",Sell,Sell,Neutral,48.32090554,-0.5,0.796904412,31.55854173,49.13194444,47.1489789,Long Upper Shadow
NIO,NIO Inc.,Buy,Buy,Neutral,51.5015056,-0.24,0.277279118,-23.92808682,23.47619048,32.34643242,
SITM,SiTime Corporation,Buy,Strong buy,Sell,73.88523999,100.9,145.6998774,106.40362,89.58457037,92.20738073,
BBIO,"BridgeBio Pharma, Inc.",Buy,Buy,Neutral,51.99515261,-3.35,1.590117647,21.82712997,33.1233453,34.46934803,
RGC,Regencell Bioscience Holdings Limited,Buy,Strong buy,Neutral,52.67521479,-3.04,0.818363529,-27.00857123,21.51544742,19.01844191,
CHKP,Check Point Software Technologies Ltd.,Sell,Strong sell,Neutral,43.87228641,-3.99,-7.667365294,-62.01654597,22.00446144,27.3527857,
HST,"Host Hotels & Resorts, Inc.",Buy,Strong buy,Neutral,60.99319071,0.61,1.349764706,67.88617886,73.91923652,77.12241768,
ARXS,"Arxis, Inc.",Neutral,Neutral,Neutral,,,,,,,Spinning Top White
BEN,"Franklin Resources, Inc.",Strong buy,Strong buy,Neutral,65.11921644,1.9,2.356004412,84.81396649,76.87765324,78.48894789,
TYL,"Tyler Technologies, Inc.",Sell,Strong sell,Neutral,48.68088983,16.73,1.118998529,44.82523477,66.32208923,71.46959255,
LECO,"Lincoln Electric Holdings, Inc.",Buy,Strong buy,Neutral,53.2246255,1.05,5.011362941,63.89899429,80.02914359,81.69002004,
WLK,Westlake Corporation,Neutral,Neutral,Neutral,45.91321961,-8.96,-1.065525,-135.8043242,10.77783818,16.83984482,Spinning Top Black
RRX,Regal Rexnord Corporation,Buy,Strong buy,Neutral,60.49333025,3.27,16.49350735,90.74128936,84.72272499,85.66692855,
CPT,Camden Property Trust,Sell,Strong sell,Neutral,49.42218761,0.78,1.569677941,33.13817996,42.52217997,49.58630955,Spinning Top Black
ASND,Ascendis Pharma A/S,Sell,Sell,Sell,44.52854802,-21.89,0.612925588,-40.83464574,30.53688005,36.96774822,
AKAM,"Akamai Technologies, Inc.",Sell,Strong sell,Sell,42.17227633,0.99,-9.592116176,-57.18374556,25.01155338,26.72528097,
HII,"Huntington Ingalls Industries, Inc.",Sell,Strong sell,Sell,30.70488997,-36.06,-27.18577206,-150.1210067,9.18658677,8.657463778,"Inverted Hammer, Long Upper Shadow"
FNF,"Fidelity National Financial, Inc.",Neutral,Buy,Sell,66.8397216,4.78,3.721408824,139.7312376,93.59342589,94.33207052,
TOL,"Toll Brothers, Inc.",Buy,Strong buy,Neutral,57.99643154,6.07,8.515490294,80.30152595,68.58927599,72.28098415,
PFGC,Performance Food Group Company,Sell,Strong sell,Neutral,49.38288644,0.42,3.3255,30.02015621,50.01050602,63.01265965,
TIGO,Millicom International Cellular S.A.,Buy,Strong buy,Sell,59.57245249,-0.28,6.049029706,77.79898332,85.10716925,86.3858723,
OWL,Blue Owl Capital Inc.,Sell,Strong sell,Neutral,42.28378824,0.47,0.490448824,-9.951955317,48.82221927,62.36522462,
EVR,Evercore Inc.,Buy,Strong buy,Neutral,62.79129953,-2.75,38.89078235,34.03466185,61.15742114,67.86642443,
DTM,"DT Midstream, Inc.",Buy,Strong buy,Buy,53.13233672,1.91,-1.685975882,102.128135,60.15097338,45.70255595,
TRU,TransUnion,Sell,Strong sell,Neutral,45.75813533,-0.72,2.685729412,-9.088263036,40.98765432,49.57201646,
RGA,"Reinsurance Group of America, Incorporated",Strong buy,Strong buy,Neutral,53.76342781,3.23,3.053858529,58.87386655,66.4707323,63.07634891,
OHI,"Omega Healthcare Investors, Inc.",Strong buy,Strong buy,Buy,56.3799099,1.25,0.046825294,114.1998826,77.75840856,64.49260723,Shooting Star
ALLY,Ally Financial Inc.,Buy,Strong buy,Neutral,62.01276389,2.46,4.727777941,68.79725553,63.98460365,72.51157972,Shooting Star
LAMR,Lamar Advertising Company,Strong buy,Strong buy,Buy,62.56198381,2.83,3.086394118,78.14784194,56.12848269,57.30423024,
APA,APA Corporation,Buy,Buy,Neutral,52.34081001,-1.06,-0.485764706,-27.05643831,55.23857377,47.2812655,
MKC,"McCormick & Company, Incorporated",Strong sell,Strong sell,Neutral,36.36312409,-3.71,-1.763145,-52.07500153,35.32434065,47.00289678,
OKTA,"Okta, Inc.",Neutral,Neutral,Neutral,51.75899103,10.68,0.243642941,24.12397837,69.07340554,72.95856971,
RNR,RenaissanceRe Holdings Ltd.,Buy,Strong buy,Sell,58.1865302,3.15,9.422948691,48.38801915,64.22464421,70.55008743,
RPM,RPM International Inc.,Sell,Sell,Sell,49.75705538,-4.45,3.765205882,-1.57624447,43.88344362,55.43578423,
GLPI,"Gaming and Leisure Properties, Inc.",Strong buy,Strong buy,Neutral,56.18319288,0.42,0.43194,92.80036715,72.15639753,69.50388165,Long Upper Shadow
PAYP,PayPay Corporation - American Depository Shares,Sell,Strong sell,Sell,51.20698332,-0.27,,-67.51742259,27.82689851,30.91026109,Spinning Top White
GGG,Graco Inc.,Strong sell,Strong sell,Sell,32.40478162,-7.67,-1.983932353,-166.731978,12.36634026,25.10338822,
HAS,"Hasbro, Inc.",Buy,Strong buy,Neutral,52.8266694,2.2,1.529113235,89.82677062,67.04745167,57.33263354,
ALGN,"Align Technology, Inc.",Buy,Strong buy,Neutral,52.46396738,4.03,13.99620029,44.16558489,63.0740886,73.79355794,
OKLO,Oklo Inc.,Buy,Strong buy,Neutral,64.95912517,21.99,13.92521618,107.1775012,81.09095541,82.14462922,
PODD,Insulet Corporation,Sell,Strong sell,Neutral,25.51017305,-9.5,-19.47763235,-147.761076,12.30798731,12.50131788,
PINS,"Pinterest, Inc.",Buy,Buy,Buy,60.81604972,2.31,1.364366176,75.83065245,70.52124398,74.25901591,
JHX,James Hardie Industries plc.,Buy,Strong buy,Neutral,60.4077789,1.1,1.862514706,89.97482433,84.62107305,86.35507305,
CNA,CNA Financial Corporation,Buy,Strong buy,Neutral,55.59356453,0.42,1.345517647,81.08435554,74.97732723,81.64793291,Long Upper Shadow
FIVE,"Five Below, Inc.",Buy,Strong buy,Neutral,54.37163483,13.06,11.45738529,35.7249879,58.01473775,62.36382026,
